Accounting Policies - Additional Information (Detail) - USD ($) $ in Billions,"Sep. 30, 2024","Jun. 30, 2024"
Significant Accounting Policies [Line Items], , 
"Long-term accounts receivable, net of allowance for doubtful accounts",4.8,4.9
Other receivables related to purchase of components,11.4,10.5
"Financing receivables, net",4.3,4.5
"OpenAI Global, LLC", , 
Significant Accounting Policies [Line Items], , 
Total funding commitments,13, 
"Maximum | Reprogrammed Interchange LLC | Inflection AI, Inc", , 
Significant Accounting Policies [Line Items], , 
Equity interest percentage,0.1, 
"Maximum | Greylock Ventures | Inflection AI, Inc", , 
Significant Accounting Policies [Line Items], , 
Equity interest percentage,0.1, 
