Assumptions Used in Estimating the Fair Value of Stock Award Grants (Detail) - $ / shares,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
"Share based Compensation Arrangement by Share based Payment Award, Fair Value Assumptions, Method Used [Line Items]", , , 
Interest rates minimum,0.038,0.02,0.0003
Interest rates maximum,0.056,0.054,0.036
Lower Limit, , , 
"Share based Compensation Arrangement by Share based Payment Award, Fair Value Assumptions, Method Used [Line Items]", , , 
Dividends per share (quarterly amounts),0.68,0.62,0.56
Upper Limit, , , 
"Share based Compensation Arrangement by Share based Payment Award, Fair Value Assumptions, Method Used [Line Items]", , , 
Dividends per share (quarterly amounts),0.75,0.68,0.62
