MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions)(Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended March 31,",,,,"Nine Months Ended March 31,",,,,
,,,,,,,,,
,2018,,2017.0,,2018,,2017.0,,
Net income,7424,,5486.0,,7698,,17420.0,,
"Other comprehensive income (loss),
  net of tax:",,,,,,,,,
  Net change related to derivatives,7,,-225.0,,-106,,18.0,,
  Net change related to investments,-1016,,65.0,,-2182,,-846.0,,
  Translation adjustments and other,255,,349.0,,508,,-125.0,,
   Other comprehensive income (loss),-754,,189.0,,-1780,,-953.0,,
Comprehensive income,6670,,5675.0,,5918,,16467.0,,
