MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2022,,2021.0,,2022,,2021.0,,
Net income,16425,,18765.0,,33981,,39270.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,-32,,0.0,,-25,,2.0,,
  Net change related to investments,348,,-743.0,,-1549,,-1165.0,,
  Translation adjustments and other,570,,-103.0,,-205,,-222.0,,
   Other comprehensive income (loss),886,,-846.0,,-1779,,-1385.0,,
Comprehensive income,17311,,17919.0,,32202,,37885.0,,
