Summary of Changes in Accumulated Other Comprehensive Income (Loss) by Component (Parenthetical) (Detail) - USD ($) $ in Millions,3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Derivatives, , 
Accumulated Other Comprehensive Income (Loss) [Line Items], , 
"Unrealized gains (losses), net of tax",7,-4
"Net change related to other comprehensive income (loss), tax",-3,6
Investments, , 
Accumulated Other Comprehensive Income (Loss) [Line Items], , 
"Unrealized gains (losses), net of tax",297,-75
"Net change related to other comprehensive income (loss), tax",296,-69
Translation adjustments and other, , 
Accumulated Other Comprehensive Income (Loss) [Line Items], , 
"Net change related to other comprehensive income (loss), tax",0,0
