Debt - Additional Information (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Debt Instrument [Line Items], , , 
Long-term debt fair value,42300,46200, 
Short-term debt,6693,0, 
Cash paid for interest,1700,1700,1900
Commercial Paper, , , 
Debt Instrument [Line Items], , , 
"Short term debt, weighted average interest rate",0.054, , 
Commercial Paper | Maximum, , , 
Debt Instrument [Line Items], , , 
Short term borrowings maturity,152 days, , 
Commercial Paper | Minimum, , , 
Debt Instrument [Line Items], , , 
Short term borrowings maturity,28 days, , 
