Unrealized Losses on Debt Investments (Detail) - USD ($) $ in Millions,"Jun. 30, 2024","Jun. 30, 2023"
Unrealized Losses on Investments [Line Items], , 
Less than 12 Months - Fair Value,2157,10721
Less than 12 Months - Unrealized Losses,-25,-398
12 Months or Greater - Fair Value,52432,53598
12 Months or Greater - Unrealized Losses,-3323,-4152
Total Fair Value,54589,64319
Total Unrealized Losses,-3348,-4550
U.S. government and agency securities, , 
Unrealized Losses on Investments [Line Items], , 
Less than 12 Months - Fair Value,529,7950
Less than 12 Months - Unrealized Losses,-12,-336
12 Months or Greater - Fair Value,45821,45273
12 Months or Greater - Unrealized Losses,-2936,-3534
Total Fair Value,46350,53223
Total Unrealized Losses,-2948,-3870
Foreign government bonds, , 
Unrealized Losses on Investments [Line Items], , 
Less than 12 Months - Fair Value,79,77
Less than 12 Months - Unrealized Losses,-2,-5
12 Months or Greater - Fair Value,180,391
12 Months or Greater - Unrealized Losses,-14,-19
Total Fair Value,259,468
Total Unrealized Losses,-16,-24
Mortgage- and asset-backed securities, , 
Unrealized Losses on Investments [Line Items], , 
Less than 12 Months - Fair Value,201,257
Less than 12 Months - Unrealized Losses,-1,-5
12 Months or Greater - Fair Value,409,412
12 Months or Greater - Unrealized Losses,-34,-34
Total Fair Value,610,669
Total Unrealized Losses,-35,-39
Corporate notes and bonds, , 
Unrealized Losses on Investments [Line Items], , 
Less than 12 Months - Fair Value,1310,2326
Less than 12 Months - Unrealized Losses,-9,-49
12 Months or Greater - Fair Value,5779,7336
12 Months or Greater - Unrealized Losses,-310,-534
Total Fair Value,7089,9662
Total Unrealized Losses,-319,-583
Municipal securities, , 
Unrealized Losses on Investments [Line Items], , 
Less than 12 Months - Fair Value,38,111
Less than 12 Months - Unrealized Losses,-1,-3
12 Months or Greater - Fair Value,243,186
12 Months or Greater - Unrealized Losses,-29,-31
Total Fair Value,281,297
Total Unrealized Losses,-30,-34
