Debt - Additional Information (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2
,"Jun. 30, 2024","Sep. 30, 2024"
Debt Instrument [Line Items], , 
Long-term debt fair value,42300,44600
Short-term debt,6693,0
Commercial Paper, , 
Debt Instrument [Line Items], , 
"Short term debt, weighted average interest rate",0.054, 
Commercial Paper | Maximum, , 
Debt Instrument [Line Items], , 
Short term borrowings maturity,152 days, 
Commercial Paper | Minimum, , 
Debt Instrument [Line Items], , 
Short term borrowings maturity,28 days, 
