"Gains (Losses) on Derivative Instruments Recognized in Other Income (Expense), Net (Detail) - Other Income (Expense), Net - USD ($) $ in Millions",3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Foreign Exchange Contracts, , 
"Derivative Instruments, Gain (Loss) [Line Items]", , 
Gains (Losses) on Derivatives Not Designated as Hedges,-383,206
Equity Contracts, , 
"Derivative Instruments, Gain (Loss) [Line Items]", , 
Gains (Losses) on Derivatives Not Designated as Hedges,-348,113
Other Contracts, , 
"Derivative Instruments, Gain (Loss) [Line Items]", , 
Gains (Losses) on Derivatives Not Designated as Hedges,24,-33
Fair Value Hedges | Interest Rate Contracts, , 
"Derivative Instruments, Gain (Loss) [Line Items]", , 
Derivatives,20,-16
Hedged items,-32,3
Cash Flow Hedges | Foreign Exchange Contracts, , 
"Derivative Instruments, Gain (Loss) [Line Items]", , 
Amount reclassified from accumulated other comprehensive loss,49,-46
