Notional Amounts of Outstanding Derivative Instruments Measured in U.S. Dollar Equivalents (Detail) - USD ($) $ in Millions,"Sep. 30, 2024","Jun. 30, 2024"
Designated as Hedging Instruments | Foreign Exchange Contracts | Derivatives Purchased, , 
Derivative [Line Items], , 
Notional amounts,1492,1492
Designated as Hedging Instruments | Interest Rate Contracts | Derivatives Purchased, , 
Derivative [Line Items], , 
Notional amounts,1144,1100
Not Designated as Hedging Instruments | Foreign Exchange Contracts | Derivatives Purchased, , 
Derivative [Line Items], , 
Notional amounts,8438,7167
Not Designated as Hedging Instruments | Foreign Exchange Contracts | Derivatives Sold, , 
Derivative [Line Items], , 
Notional amounts,22559,31793
Not Designated as Hedging Instruments | Equity Contracts | Derivatives Purchased, , 
Derivative [Line Items], , 
Notional amounts,4290,4016
Not Designated as Hedging Instruments | Equity Contracts | Derivatives Sold, , 
Derivative [Line Items], , 
Notional amounts,2165,2165
Not Designated as Hedging Instruments | Other Contracts | Derivatives Purchased, , 
Derivative [Line Items], , 
Notional amounts,2829,2113
Not Designated as Hedging Instruments | Other Contracts | Derivatives Sold, , 
Derivative [Line Items], , 
Notional amounts,1121,811
