"Document and Entity Information - USD ($) $ / shares in Units, $ in Trillions",12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jul. 25, 2024","Dec. 31, 2023"
Entity Information [Line Items], , , 
Document Type,10-K, , 
Amendment Flag,false, , 
Document Period End Date,"Jun. 30,  2024", , 
Document Fiscal Year Focus,2024, , 
Document Fiscal Period Focus,FY, , 
Entity Registrant Name,MICROSOFT CORPORATION, , 
Entity Central Index Key,0000789019, , 
Current Fiscal Year End Date,--06-30, , 
Entity Current Reporting Status,Yes, , 
Entity Interactive Data Current,Yes, , 
Entity Well-known Seasoned Issuer,Yes, , 
Entity Voluntary Filers,No, , 
Entity Filer Category,Large Accelerated Filer, , 
Entity Small Business,false, , 
Entity Emerging Growth Company,false, , 
Entity Shell Company,false, , 
Entity File Number,001-37845, , 
"Entity Incorporation, State or Country Code",WA, , 
Entity Tax Identification Number,91-1144442, , 
"Entity Address, Address Line One",ONE MICROSOFT WAY, , 
"Entity Address, City or Town",REDMOND, , 
"Entity Address, State or Province",WA, , 
"Entity Address, Postal Zip Code",98052-6399, , 
City Area Code,425, , 
Local Phone Number,882-8080, , 
Document Annual Report,true, , 
Document Transition Report,false, , 
"Entity Common Stock, Shares Outstanding", ,7433038381, 
Document Financial Statement Error Correction [Flag],false, , 
Entity Public Float, , ,2.8
ICFR Auditor Attestation Flag,true, , 
"Entity Common Stock, Par Value Per Share",6.25e-06, , 
Auditor Name,DELOITTE & TOUCHE LLP, , 
Auditor Firm ID,34, , 
Auditor Location,"Seattle, Washington", , 
Documents Incorporated by Reference,"Portions of the definitive Proxy Statement to be delivered to shareholders in connection with the Annual Meeting of Shareholders to be held on December 10, 2024 are incorporated by reference into Part III.", , 
Common Stock, , , 
Entity Information [Line Items], , , 
Trading Symbol,MSFT, , 
Title of 12(b) Security,"Common stock, $0.00000625 par value per share", , 
Security Exchange Name,NASDAQ, , 
3.125% Notes Due 2028, , , 
Entity Information [Line Items], , , 
Trading Symbol,MSFT, , 
Title of 12(b) Security,3.125% Notes due 2028, , 
Security Exchange Name,NASDAQ, , 
2.625% Notes Due 2033, , , 
Entity Information [Line Items], , , 
Trading Symbol,MSFT, , 
Title of 12(b) Security,2.625% Notes due 2033, , 
Security Exchange Name,NASDAQ, , 
