Carrying Amount of Goodwill (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024",,"Jun. 30, 2023"
Goodwill [Line Items], ,, 
Beginning Balance,67886,,67524
Acquisitions,51235,,234
Other,99,,128
Ending Balance,119220,,67886
Productivity and Business Processes, ,, 
Goodwill [Line Items], ,, 
Beginning Balance,31359,,31395
Acquisitions,0,,11
Other,2,,-47
Ending Balance,31361,,31359
Intelligent Cloud, ,, 
Goodwill [Line Items], ,, 
Beginning Balance,25676,,25389
Acquisitions,0,,223
Other,-28,,64
Ending Balance,25648,,25676
More Personal Computing, ,, 
Goodwill [Line Items], ,, 
Beginning Balance,10851,,10740
Acquisitions,51235,[1],0
Other,125,[1],111
Ending Balance,62211,,10851
,,,
[1] Includes goodwill of $ 51.0 billion related to Activision Blizzard. See Note 8 – Business Combinations for further information.,,,
