Maturities of Lease Liabilities (Detail) - USD ($) $ in Millions,"Jun. 30, 2024","Jun. 30, 2023"
Leases [Abstract], , 
"Operating Leases, Year Ending June 30, 2025",4124, 
"Operating Leases, Year Ending June 30, 2026",3549, 
"Operating Leases, Year Ending June 30, 2027",2981, 
"Operating Leases, Year Ending June 30, 2028",2405, 
"Operating Leases, Year Ending June 30, 2029",1924, 
"Operating Leases, Thereafter",6587, 
"Operating Leases, Total lease payments",21570, 
"Operating Leases, Less imputed interest",-2493, 
Operating Leases,19077,15137
"Finance Leases, Year Ending June 30, 2025",3311, 
"Finance Leases, Year Ending June 30, 2026",3021, 
"Finance Leases, Year Ending June 30, 2027",3037, 
"Finance Leases, Year Ending June 30, 2028",3026, 
"Finance Leases, Year Ending June 30, 2029",2638, 
"Finance Leases, Thereafter",19116, 
"Finance Leases, Total lease payments",34149, 
"Finance Leases, Less imputed interest",-7004, 
Finance Leases,27145,17067
