Leases - Additional Information (Detail) $ in Billions,12 Months Ended
,"Jun. 30, 2024 USD ($)"
Operating Lease, 
Leases [Line Items], 
"Additional leases, primarily for datacenters, that have not yet commenced",8.6
Finance Lease, 
Leases [Line Items], 
"Additional leases, primarily for datacenters, that have not yet commenced",108.4
Minimum, 
Leases [Line Items], 
"Operating and Finance leases, remaining lease terms",1 year
"Additional operating leases that have not yet commenced, lease terms",1 year
"Additional finance leases that have not yet commenced, lease terms",1 year
Maximum, 
Leases [Line Items], 
"Operating and Finance leases, remaining lease terms",17 years
"Operating leases, options to extend leases term",5 years
"Finance leases, options to extend leases term",5 years
"Operating and Finance leases, options to terminate leases term",1 year
"Additional operating leases that have not yet commenced, lease terms",20 years
"Additional finance leases that have not yet commenced, lease terms",20 years
