Share Repurchases (Detail) - USD ($) $ in Millions,3 Months Ended,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12 Months Ended,Unnamed: 14,Unnamed: 15
,"Jun. 30, 2024","Mar. 31, 2024","Dec. 31, 2023","Sep. 30, 2023","Jun. 30, 2023","Mar. 31, 2023","Dec. 31, 2022","Sep. 30, 2022","Jun. 30, 2022","Mar. 31, 2022","Dec. 31, 2021","Sep. 30, 2021","Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Share Repurchases [Line Items], , , , , , , , , , , , , , , 
Shares of common stock repurchased, , , , , , , , , , , , ,32000000,69000000,95000000
Share Repurchase Program 2019, , , , , , , , , , , , , , , 
Share Repurchases [Line Items], , , , , , , , , , , , , , , 
Shares of common stock repurchased, , , , , , , , , , , ,21000000, , , 
Value of common stock repurchased, , , , , , , , , , , ,6200, , , 
Share Repurchase Program 2019 and 2021, , , , , , , , , , , , , , , 
Share Repurchases [Line Items], , , , , , , , , , , , , , , 
Shares of common stock repurchased, , , , , , , , , , ,20000000, , , ,95000000
Value of common stock repurchased, , , , , , , , , , ,6233, , , ,28033
Share Repurchase Program 2021, , , , , , , , , , , , , , , 
Share Repurchases [Line Items], , , , , , , , , , , , , , , 
Shares of common stock repurchased,7000000,7000000,7000000,11000000,14000000,18000000,20000000,17000000,28000000,26000000, , ,32000000,69000000, 
Value of common stock repurchased,2800,2800,2800,3560,4600,4600,4600,4600,7800,7800, , ,11960,18400, 
