"Dividends Declared (Detail) - USD ($) $ / shares in Units, $ in Millions",3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Dividends Payable [Line Items], , 
Dividend Per Share,0.83,0.75
Amount,6172,5574
O2025Q1 Dividends, , 
Dividends Payable [Line Items], , 
Declaration Date,"Sep. 16,  2024", 
Record Date,"Nov. 21,  2024", 
Payment Date,"Dec. 12,  2024", 
O2024Q1 Dividends, , 
Dividends Payable [Line Items], , 
Declaration Date, ,"Sep. 19,  2023"
Record Date, ,"Nov. 16,  2023"
Payment Date, ,"Dec. 14,  2023"
