MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
SEGMENT REVENUE AND OPERATING INCOME (LOSS),,,,,,,,,
(In millions)(Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2016,,2015.0,,2016,,2015.0,,
Revenue,,,,,,,,,
Productivity and Business Processes,7382,,6690.0,,14040,,12996.0,,
Intelligent Cloud,6861,,6343.0,,13243,,12235.0,,
More Personal Computing,11823,,12473.0,,21117,,21935.0,,
Corporate and Other,-1976,,-1710.0,,-3857,,-2991.0,,
  Total revenue,24090,,23796.0,,44543,,44175.0,,
,,,,,,,,,
Operating income (loss),,,,,,,,,
Productivity and Business Processes,3256,,3292.0,,6376,,6448.0,,
Intelligent Cloud,2398,,2568.0,,4456,,4959.0,,
More Personal Computing,2499,,1876.0,,4427,,3403.0,,
Corporate and Other,-1976,,-1710.0,,-3857,,-2991.0,,
  Total operating income,6177,,6026.0,,11402,,11819.0,,
