Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-19,Q2-19,Q3-19,Q4-19,Fiscal Year 2019,,Q1-20,Q2-20,Q3-20,Q4-20,Fiscal Year 2020
Productivity and Business Processes,9771,10100,10242,11047,41160,,11077,,,,11077
Intelligent Cloud,8567,9378,9649,11391,38985,,10845,,,,10845
More Personal Computing,10746,12993,10680,11279,45698,,11133,,,,11133
  Total,29084,32471,30571,33717,125843,,33055,,,,33055
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-19,Q2-19,Q3-19,Q4-19,Fiscal Year 2019,,Q1-20,Q2-20,Q3-20,Q4-20,Fiscal Year 2020
Productivity and Business Processes,3881,4015,3979,4344,16219,,4782,,,,4782
Intelligent Cloud,2931,3279,3208,4502,13920,,3889,,,,3889
More Personal Computing,3143,2964,3154,3559,12820,,4015,,,,4015
  Total,9955,10258,10341,12405,42959,,12686,,,,12686
