Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Segment Revenue and Operating Income,,,,,,,,,,,,,,,,,
(In millions),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue,Q1-23,Q2-23,Q3-23,Q4-23,Fiscal Year 2023,,Q1-24,Q2-24,Q3-24,Q4-24,Fiscal Year 2024,,Q1-25,Q2-25,Q3-25,Q4-25,Fiscal Year 2025
Productivity and Business Processes,22074,22602,23926,25549,94151,,25226,25854,27113,28627,106820,,28317,29437,29944,33112,120810
Intelligent Cloud,16885,17926,18244,19889,72944,,20013,21525,22141,23785,87464,,24092,25544,26751,29878,106265
More Personal Computing,11163,12219,10687,10751,44820,,11278,14641,12604,12315,50838,,13176,14651,13371,13451,54649
  Total,50122,52747,52857,56189,211915,,56517,62020,61858,64727,245122,,65585,69632,70066,76441,281724
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Operating Income,Q1-23,Q2-23,Q3-23,Q4-23,Fiscal Year 2023,,Q1-24,Q2-24,Q3-24,Q4-24,Fiscal Year 2024,,Q1-25,Q2-25,Q3-25,Q4-25,Fiscal Year 2025
Productivity and Business Processes,11940,11483,12776,13875,50074,,14297,14515,15143,15706,59661,,16516,16885,17379,18993,69773
Intelligent Cloud,6750,6727,7017,7917,28411,,8908,9555,9515,9835,37813,,10503,10851,11095,12140,44589
More Personal Computing,2828,2189,2559,2462,10038,,3690,2962,2923,2384,11959,,3533,3917,3526,3190,14166
  Total,21518,20399,22352,24254,88523,,26895,27032,27581,27925,109433,,30552,31653,32000,34323,128528
,,,,,,,,,,,,,,,,,
"We have recast certain prior period amounts to conform to the way we internally manage and monitor our business, which reflects the FY25 changes to the composition of our segments announced in August 2024.",,,,,,,,,,,,,,,,,
