Operating Income (Loss) by Segment (Detail) - USD ($) $ in Millions,3 Months Ended,Unnamed: 2
,"Sep. 30, 2024","Sep. 30, 2023"
Segment Reporting Information [Line Items], , 
Operating Income (Loss),30552,26895
Productivity and Business Processes, , 
Segment Reporting Information [Line Items], , 
Operating Income (Loss),16516,14297
Intelligent Cloud, , 
Segment Reporting Information [Line Items], , 
Operating Income (Loss),10503,8908
More Personal Computing, , 
Segment Reporting Information [Line Items], , 
Operating Income (Loss),3533,3690
