Revenue Classified by Major Geographic Areas (Detail) - USD ($) $ in Millions,Unnamed: 1,3 Months Ended,Unnamed: 3
,,"Sep. 30, 2024","Sep. 30, 2023"
Revenues From External Customers And Long Lived Assets [Line Items],, , 
Revenue,,65585,56517
United States,, , 
Revenues From External Customers And Long Lived Assets [Line Items],, , 
Revenue,[1],33913,28812
Other Countries,, , 
Revenues From External Customers And Long Lived Assets [Line Items],, , 
Revenue,,31672,27705
,,,
[1] Includes billings to OEMs and certain multinational organizations because of the nature of these businesses and the impracticability of determining the geographic source of the revenue.,,,
