Revenue Classified by Significant Product and Service Offerings (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Revenue from External Customer [Line Items], , , 
Revenue,245122,211915,198270
Server Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,79828,65007,55414
Microsoft 365 Commercial Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,76969,66949,59926
Gaming, , , 
Revenue from External Customer [Line Items], , , 
Revenue,21503,15466,16230
Windows and Devices, , , 
Revenue from External Customer [Line Items], , , 
Revenue,17026,17147,22628
LinkedIn, , , 
Revenue from External Customer [Line Items], , , 
Revenue,16372,14989,13631
Search and News Advertising, , , 
Revenue from External Customer [Line Items], , , 
Revenue,12306,12125,11526
Enterprise and Partner Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,7594,7900,7605
Dynamics Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,6831,5796,4800
Microsoft 365 Consumer Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,6648,6417,6277
Other, , , 
Revenue from External Customer [Line Items], , , 
Revenue,45,119,233
