Microsoft Corporation,Unnamed: 1,Back to Main,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Unearned Revenue,,,,,,,
,,,,,,,
,,Q4-14,Q1-15,Q2-15,Q3-15,Q4-15,Q1-16
,,,,,,,
Unearned Revenue ($ in millions),,,,,,,
Productivity and Business Processes,,11412,10259,9760,9323,11643,10719
Intelligent Cloud,,9812,8697,8373,7980,10346,9291
More Personal Computing,,3579,3199,3052,2836,3246,3035
Corporate and Other,,355,383,58,59,83,1342
      Total,,25158,22538,21243,20198,25318,24387
,,,,,,,
Unearned Revenue (in %),,,,,,,
Productivity and Business Processes,,0.45,0.45,0.46,0.46,0.46,0.44
Intelligent Cloud,,0.39,0.39,0.4,0.4,0.41,0.38
More Personal Computing,,0.14,0.14,0.14,0.14,0.13,0.12
Corporate and Other,,0.02,0.02,0,0,0,0.06
      Total,,1,1,1,1,1,1
