Microsoft Corporation,Unnamed: 1,Back to Main,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Unearned Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q1-16,Q2-16,Q3-16,Q4-16,Q1-17,Q2-17,Q3-17,Q4-17,Q1-18,Q2-18,Q3-18,Q4-18,Q1-19,Q2-19,Q3-19,Q4-19,Q1-20,Q2-20,Q3-20,Q4-20,Q1-21,Q2-21,Q3-21,Q4-21,Q1-22,Q2-22,Q3-22,Q4-22,Q1-23,Q2-23,Q3-23,Q4-23,Q1-24,Q2-24,Q3-24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unearned Revenue ($ in millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productivity and Business Processes,,8718,8257,8006,10673,9656,9839,9697,12692,11808,11290,11185,14864,13753,12635,12679,16831,15560,14266,14077,18643,17675,16225,16169,22120,20565,18494,18578,24558,22405,20120,20504,27572,25316,22591,22929
Intelligent Cloud,,7107,6702,6679,8913,8057,7676,7735,11152,10156,9759,9987,14706,13298,12551,12531,16988,15255,13766,12984,16620,15039,13786,13098,17710,16117,14549,14524,19371,17294,15822,15552,21563,19471,17696,16696
More Personal Computing,,2366,2393,2427,2607,2657,2476,2472,2812,2940,2760,2783,3150,3191,2898,2925,3387,3211,3189,3336,3917,3591,3376,3447,4311,4333,3726,3694,4479,4190,3684,3545,4678,4401,5747,5208
      Total,,18191,17352,17112,22193,20370,19991,19904,26656,24904,23809,23955,32720,30242,28084,28135,37206,34026,31221,30397,39180,36305,33387,32714,44141,41015,36769,36796,48408,43889,39626,39601,53813,49188,46034,44833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unearned Revenue (in %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productivity and Business Processes,,0.48,0.47,0.47,0.48,0.47,0.49,0.49,0.48,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.48,0.49,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.49,0.51
Intelligent Cloud,,0.39,0.39,0.39,0.4,0.4,0.39,0.39,0.42,0.41,0.41,0.41,0.45,0.44,0.45,0.45,0.46,0.45,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.4,0.39,0.4,0.39,0.4,0.39,0.4,0.4,0.38,0.37
More Personal Computing,,0.13,0.14,0.14,0.12,0.13,0.12,0.12,0.1,0.12,0.12,0.12,0.1,0.11,0.1,0.1,0.09,0.09,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.12,0.12
      Total,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
