Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Quarterly Income Statements,,,,,,,,,,,
"(in millions, except per share amounts)",,,,,,,,,,,
,,,,,,,,,,,
,,,Q1-16,Q2-16,Q3-16,Q4-16,Q1-17,Q2-17,Q3-17,Q4-17,Q1-18
Revenue:,,,,,,,,,,,
   Product,,,15750,19431,15307,16848,14968,18273,14513,16057,14298
   Service and other,,,5160,5822,6210,6626,6960,7553,8699,9548,10240
      Total revenue,,,20910,25253,21517,23474,21928,25826,23212,25605,24538
Cost of revenue:,,,,,,,,,,,
   Product,,,4035,6268,3801,3776,3581,5378,3075,3141,2980
   Service and other,,,3172,3604,3921,4203,4263,4523,4985,5315,5298
      Total cost of revenue,,,7207,9872,7722,7979,7844,9901,8060,8456,8278
      Gross margin,,,13703,15381,13795,15495,14084,15925,15152,17149,16260
Research and development ,,,2962,2900,2980,3146,3106,3062,3355,3514,3574
Sales and marketing,,,3341,3954,3398,3942,3218,4079,3872,4292,3812
General and administrative ,,,1084,1038,1140,1301,1045,879,1202,1355,1166
"Impairment, integration, and restructuring",,,0,0,0,1110,0,0,0,306,0
Operating income,,,6316,7489,6277,5996,6715,7905,6723,7682,7708
"Other income (expense), net",,,-295,-176,-212,244,112,117,371,276,276
Income before income taxes,,,6021,7313,6065,6240,6827,8022,7094,7958,7984
Provision for (benefit from) income taxes,,,952,1375,1760,1013,1160,1755,1608,-111,1408
Net income,,,5069,5938,4305,5227,5667,6267,5486,8069,6576
Earnings per share:,,,,,,,,,,,
   Basic,,,0.63,0.75,0.55,0.67,0.73,0.81,0.71,1.05,0.85
   Diluted,,,0.63,0.74,0.54,0.66,0.72,0.8,0.7,1.03,0.84
