Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6
Yearly Income Statements,,,,,,
"(In millions, except per share amounts)",,,,,,
,,,,,,
,,,FY16,FY17,FY18,FY19
Revenue:,,,,,,
   Product,,,67336,63811,64497,66069
   Service and other,,,23818,32760,45863,59774
      Total revenue,,,91154,96571,110360,125843
Cost of revenue:,,,,,,
   Product,,,17880,15175,15420,16273
   Service and other,,,14900,19086,22933,26637
      Total cost of revenue,,,32780,34261,38353,42910
      Gross margin,,,58374,62310,72007,82933
Research and development ,,,11988,13037,14726,16876
Sales and marketing,,,14635,15461,17469,18213
General and administrative ,,,4563,4481,4754,4885
Impairment and restructuring,,,1110,306,0,0
Operating income,,,26078,29025,35058,42959
"Other income (expense), net",,,-439,876,1416,729
Income before income taxes,,,25639,29901,36474,43688
Provision for income taxes,,,5100,4412,19903,4448
Net income,,,20539,25489,16571,39240
Earnings per share:,,,,,,
   Basic,,,2.59,3.29,2.15,5.11
   Diluted,,,2.56,3.25,2.13,5.06
