Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Yearly Income Statements,,,,,,,
"(In millions, except per share amounts)",,,,,,,
,,,,,,,
,,,FY16,FY17,FY18,FY19,FY20
Revenue:,,,,,,,
   Product,,,67336,63811,64497,66069,68041
   Service and other,,,23818,32760,45863,59774,74974
      Total revenue,,,91154,96571,110360,125843,143015
Cost of revenue:,,,,,,,
   Product,,,17880,15175,15420,16273,16017
   Service and other,,,14900,19086,22933,26637,30061
      Total cost of revenue,,,32780,34261,38353,42910,46078
      Gross margin,,,58374,62310,72007,82933,96937
Research and development ,,,11988,13037,14726,16876,19269
Sales and marketing,,,14635,15461,17469,18213,19598
General and administrative ,,,4563,4481,4754,4885,5111
Impairment and restructuring,,,1110,306,0,0,0
Operating income,,,26078,29025,35058,42959,52959
"Other income (expense), net",,,-439,876,1416,729,77
Income before income taxes,,,25639,29901,36474,43688,53036
Provision for income taxes,,,5100,4412,19903,4448,8755
Net income,,,20539,25489,16571,39240,44281
Earnings per share:,,,,,,,
   Basic,,,2.59,3.29,2.15,5.11,5.82
   Diluted,,,2.56,3.25,2.13,5.06,5.76
