COMPREHENSIVE INCOME STATEMENTS - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Statement of Comprehensive Income [Abstract], , , 
Net income,88136,72361,72738
"Other comprehensive income (loss), net of tax:", , , 
Net change related to derivatives,24,-14,6
Net change related to investments,957,-1444,-5360
Translation adjustments and other,-228,-207,-1146
Other comprehensive income (loss),753,-1665,-6500
Comprehensive income,88889,70696,66238
