"INCOME STATEMENTS - USD ($) shares in Millions, $ in Millions",12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Revenue,245122,211915,198270
Cost of revenue,74114,65863,62650
Gross margin,171008,146052,135620
Research and development,29510,27195,24512
Sales and marketing,24456,22759,21825
General and administrative,7609,7575,5900
Operating income,109433,88523,83383
"Other income (expense), net",-1646,788,333
Income before income taxes,107787,89311,83716
Provision for income taxes,19651,16950,10978
Net income,88136,72361,72738
Earnings per share:, , , 
Basic,11.86,9.72,9.7
Diluted,11.8,9.68,9.65
Weighted average shares outstanding:, , , 
Basic,7431,7446,7496
Diluted,7469,7472,7540
Product, , , 
Revenue,64773,64699,72732
Cost of revenue,15272,17804,19064
Service and Other, , , 
Revenue,180349,147216,125538
Cost of revenue,58842,48059,43586
