Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in millions, except for percentages and run rate)",,Q2'15,Q3'15,Q4'15,FY15,Q1'16,Q2'16
,,,,,,,,
,Commercial,,,,,,,
,,Commercial bookings growth (y/y)*,-0.1,-1% / 10%,-6% / 0%,-0.05,2% / 10%,12% / 19%
,,Commercial unearned revenue,19262,18223,23313,23313,20999,19557
,,Contracted not billed,">$24,000",">$23,000",">$24,500",">$24,500",">$23,500",">$25,500"
,,Commercial revenue mix,,,,,,
,,    Annuity,0.78,0.82,0.82,0.81,0.86,0.83
,,    Non-Annuity,0.22,0.18,0.18,0.19,0.14,0.17
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,-1% / 0%,-2% / 1%,-4% / 1%,-0.01,-2% / 5%,-1% / 5%
,,Office Consumer products and cloud services revenue growth (y/y)*,-12% / -9%,-29% / -24%,-30% / -23%,-0.17,-13% / -4%,-14% / -8%
,,Office 365 Commercial seat growth (y/y),0.88,0.84,0.74,0.74,0.66,0.59
,,Office 365 Consumer subscribers,9.2,12.4,15.2,15.2,18.2,20.6
,,Dynamics products and cloud services revenue growth (y/y)*,13% / 17%,13% / 20%,6% / 15%,0.12,3% / 12%,3% / 11%
,,Server products and cloud services revenue growth (y/y)*,9% / 11%,12% / 16%,4% / 9%,0.09,6% / 13%,3% / 10%
,,Enterprise services revenue growth (y/y)*,10% / 12%,7% / 13%,-1% / 5%,0.07,9% / 16%,10% / 16%
,,Commercial cloud annualized revenue run rate (in billions),5.5,6.3,>$8.0,>$8.0,>$8.2,>$9.4
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM Pro revenue growth (y/y),-0.13,-0.19,-0.21,-0.15,-0.07,-0.06
,,Windows OEM non-Pro revenue growth (y/y),-0.13,-0.26,-0.27,-0.16,-0.04,-0.03
,,Windows volume licensing revenue growth (y/y)*,3% / 3%,-2% / 1%,-8% / -4%,0,-3% / 4%,-4% / 3%
,,Surface revenue,1104,713,888,3613,672,1352
,,Xbox Live monthly active users,37,37,37,37,39,48
,,Search advertising revenue (ex TAC) growth (y/y)*,27% / 28%,29% / 34%,30% / 28%,0.29,23% / 29%,17% / 21%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
