Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"(in billions, except for percentages and where otherwise noted)",,Q4'15,FY15,Q1'16,Q2'16,Q3'16,Q4'16,FY16
,, ,,,,,,,
,Commercial,,,,,,,,
,,Commercial bookings growth (y/y)*,-6% / 0%,-0.05,2% / 10%,12% / 19%,7% / 9%,3% / 4%,0.06
,,Commercial unearned revenue (in millions),23313,23313,20999,19557,18756,24621,24621
,,Contracted not billed,>$24.5,>$24.5,>$23.5,>$25.5,>$25.0,>$25.5,>$25.5
,,Commercial revenue mix,,,,,,,
,,    Annuity,0.82,0.81,0.86,0.83,0.86,0.83,0.84
,,    Non-Annuity,0.18,0.19,0.14,0.17,0.14,0.17,0.16
,,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,-4% / 1%,-0.01,-2% / 5%,-1% / 5%,0% / 7%,5% / 9%,0.01
,,Office Consumer products and cloud services revenue growth (y/y)*,-30% / -23%,-0.17,-13% / -4%,-14% / -8%,3% / 6%,19% / 18%,-0.02
,,Office 365 Commercial seat growth (y/y),0.74,0.74,0.66,0.59,0.57,0.45,0.45
,,Office 365 Consumer subscribers (in millions),15.2,15.2,18.2,20.6,22.2,23.1,23.1
,,Dynamics products and cloud services revenue growth (y/y)*,6% / 15%,0.12,3% / 12%,3% / 11%,4% / 9%,6% / 7%,0.04
,,Server products and cloud services revenue growth (y/y)*,4% / 9%,0.09,6% / 13%,3% / 10%,0% / 5%,5% / 8%,0.04
,,Enterprise services revenue growth (y/y)*,-1% / 5%,0.07,9% / 16%,10% / 16%,11% / 15%,12% / 14%,0.11
,,Commercial cloud annualized revenue run rate,>$8.0,>$8.0,>$8.2,>$9.4,>$10.0,>$12.1,>12.1
,,,,,,,,,
,More Personal Computing,,,,,,,,
,,Windows OEM Pro revenue growth (y/y),-0.21,-0.15,-0.07,-0.06,-0.11,0.02,-0.06
,,Windows OEM non-Pro revenue growth (y/y),-0.27,-0.16,-0.04,-0.03,0.15,0.27,0.07
,,Windows volume licensing revenue growth (y/y)*,-8% / -4%,0,-3% / 4%,-4% / 3%,-2% / 6%,3% / 9%,-1%
,,Surface revenue (in millions),888,3613,672,1352,1111,965,4100
,,Xbox Live monthly active users (in millions),37,37,39,48,46,49,49
,,Search advertising revenue (ex TAC) growth (y/y)*,30% / 28%,0.29,23% / 29%,17% / 21%,14% /18%,16% /17%,0.17
,,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,,
