Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in millions, except for percentages and where otherwise noted)",,Q3'20,Q4'20,FY20,Q1'21,Q2'21,Q3'21
,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,
,,Commercial bookings growth (y/y)*,7% / 12%,12% / 12%,0.17,23% / 18%,19% / 11%,39% / 38%
,,Commercial remaining performance obligation (in billions),89,107,107,107,112,117
,,Commercial revenue annuity mix,0.92,0.94,0.91,0.93,0.93,0.94
,,Commercial cloud revenue (in billions),13.3,14.3,51.7,15.2,16.7,17.7
,,Commercial cloud gross margin percentage,0.67,0.66,0.67,0.71,0.71,0.7
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,13% / 15%,5% / 7%,0.12,9% / 9%,11% / 9%,14% / 10%
,,Office Consumer products and cloud services revenue growth (y/y)*,15% / 17%,6% / 7%,0.11,13% / 13%,7% / 6%,5% / 2%
,,Office 365 Commercial seat growth (y/y),0.2,0.15,0.15,0.15,0.15,0.15
,,Microsoft 365 Consumer subscribers,39.6,42.7,42.7,45.3,47.5,50.2
,,Dynamics products and cloud services revenue growth (y/y)*,17% / 20%,13% / 15%,0.14,19% / 18%,21% / 18%,26% / 22%
,,LinkedIn revenue growth (y/y)*,21% / 22%,10% / 11%,0.2,16% / 16%,23% / 22%,25% / 23%
,,Server products and cloud services revenue growth (y/y)*,30% / 32%,19% / 21%,0.27,22% / 21%,26% / 24%,26% / 23%
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM Pro revenue growth (y/y),0.05,-0.04,0.11,-0.22,-0.09,-0.02
,,Windows OEM non-Pro revenue growth (y/y),-0.1,0.34,0.05,0.31,0.24,0.44
,,Windows Commercial products and cloud services revenue growth (y/y)*,17% / 18%,9% / 11%,0.18,13% / 12%,10% / 8%,10% / 7%
,,Surface revenue,1340,1724,6176,1553,2045,1504
,,Xbox content and services revenue growth (y/y)*,2% / 2%,65% / 68%,0.11,30% / 30%,40% / 38%,34% / 32%
,,Search advertising revenue (ex TAC) growth (y/y)*,1% / 1%,-18% / -17%,0,-10% / -11%,2% / 1%,17% / 14%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy21q3),,,,,,
