Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in millions, except for percentages and where otherwise noted)",,Q3'23,Q4'23,FY23,Q1'24,Q2'24,Q3'24
,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,
,,Commercial bookings growth (y/y)*,11% / 12%,-2% / -1%,0.03,14% / 17%,17% / 9%,29% / 31%
,,Commercial remaining performance obligation (in billions),196,224,224,212,222,235
,,Commercial revenue annuity mix,0.96,0.97,0.96,0.96,0.96,0.97
,,Microsoft Cloud revenue (in billions),28.5,30.3,111.6,31.8,33.7,35.1
,,Microsoft Cloud revenue growth (y/y)*,22% / 25%,21% / 23%,0.22,24% / 23%,24% / 22%,23% / 23%
,,Microsoft Cloud gross margin percentage,0.72,0.72,0.72,0.73,0.72,0.72
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,13% / 17%,12% / 14%,0.1,15% / 14%,15% / 13%,13% / 12%
,,Office Consumer products and cloud services revenue growth (y/y)*,1% / 4%,3% / 6%,0.02,3% / 4%,5% / 4%,4% / 4%
,,Office 365 Commercial seat growth (y/y),0.11,0.11,0.11,0.1,0.09,0.08
,,Microsoft 365 Consumer subscribers,70.8,74.9,74.9,76.7,78.4,80.8
,,Dynamics products and cloud services revenue growth (y/y)*,17% / 21%,19% / 21%,0.16,22% / 21%,21% / 19%,19% / 17%
,,LinkedIn revenue growth (y/y)*,8% / 11%,6% / 8%,0.1,8% / 8%,9% / 8%,10% / 9%
,,Server products and cloud services revenue growth (y/y)*,17% / 21%,17% / 18%,0.19,21% /21%,22% / 20%,24% / 24%
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM revenue growth (y/y),-0.28,-0.12,-0.25,0.04,0.11,0.11
,,Windows Commercial products and cloud services revenue growth (y/y)*,14% / 18%,2% / 3%,0.05,8% / 8%,9% / 7%,13% / 12%
,,Devices revenue growth (y/y)*,-30% / -26%,-20% / -18%,-0.24,-22% / -22%,-9% / -10%,-17% / -16%
,,Xbox content and services revenue growth (y/y)*,3% / 5%,5% / 6%,-0.03,13% / 12%,61% / 60%,62% / 61%
,,Search and news advertising revenue (ex TAC) growth (y/y)*,11% / 13%,8% / 9%,0.11,10% / 9%,8% / 7%,12% / 12%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy24q3),,,,,,
